epoch,train_loss,test_loss,train_acc,test_acc,train_prec,test_prec,train_rec,test_rec,train_f1,test_f1
1,0.4228104789696081,0.3119204060951616,89.97800000000001,92.71000000000001,0.49939936660478323,0.5837971552257266,0.9146,0.944,0.6460408278590096,0.7214367596484524
2,0.29413492216364195,0.22970729698516001,93.22399999999999,95.71,0.6026228673287497,0.7177726926010679,0.9466,0.941,0.7364244593122763,0.8143660752920814
3,0.26454750661407134,0.22198211316280303,93.798,94.91000000000001,0.6241014246503725,0.6717984604618614,0.955,0.96,0.7548810370721682,0.7904487443392343
4,0.22998461759437228,0.18949437460559568,94.662,96.32,0.660338423442014,0.7449612403100775,0.96,0.961,0.7824598581791508,0.8393013100436681
5,0.21659600241895755,0.22656089015257586,94.814,96.07,0.6662981898576759,0.7380392156862745,0.9644,0.941,0.788101658903326,0.8272527472527472
6,0.19741354514118237,0.21046163409853438,95.26400000000001,97.09,0.6872509960159362,0.8053402239448751,0.966,0.935,0.8031260392417692,0.8653401203146691
7,0.17940750884611512,0.22694361811966463,95.7,96.84,0.7076654036723987,0.7845257903494176,0.9712,0.943,0.8187489462148035,0.8564940962761126
8,0.17277100137994647,0.1991975439095478,95.8,97.31,0.7125476399882732,0.8243123336291038,0.9722,0.929,0.8223650820504145,0.8735307945463093
9,0.15892158570887563,0.26390236738333656,96.224,96.83,0.7343373493975903,0.7921300256629598,0.9752,0.926,0.8378006872852234,0.8538497003227293
10,0.15285235349460483,0.18467595377806456,96.314,96.25,0.7392754282249507,0.7413127413127413,0.9754,0.96,0.8410795895490213,0.8366013071895425
